Fecha (GMT);Nivel medio (cm);Pleamar Max. (cm);Baja Mar Min. (cm);Carrera Max. (cm)
2011 05 30;28.7;40.4;18.1;22.3
2011 05 31;27.8;38.4;19.1;19.3
2011 06 01;24.7;38.1;13.2;24.9
2011 06 02;28.2;41.5;19.6;21.9
2011 06 03;28.9;43;17.9;25.1
2011 06 04;28.8;41.9;18.7;23.2
2011 06 05;29.8;42.9;20.8;22.1
2011 06 06;32.9;47;24.5;22.5
2011 06 07;34.6;43.3;26.9;16.4
2011 06 08;31.4;40.4;24.4;16
2011 06 09;30;38.9;21.9;17
2011 06 10;29.9;39;25.1;13.9
2011 06 11;26.8;34.9;18.2;16.7
2011 06 12;26.4;33.6;18.2;15.4
2011 06 13;27.5;37;20.2;16.8
2011 06 14;26.4;37.7;15.7;22
2011 06 15;27.8;40.6;19;21.6
2011 06 16;30.2;44;21.2;22.8
2011 06 17;33.3;48.5;25;23.5
2011 06 18;31.5;42;24.2;17.8
2011 06 19;22.6;34.3;12.1;22.2
2011 06 20;22.1;35.2;15.2;20
2011 06 21;24.1;32.9;17.8;15.1
2011 06 22;23.5;30.6;18.5;12.1
2011 06 23;22.6;29.3;18.6;10.7
2011 06 24;19.7;27.8;14.4;13.4
2011 06 25;18.8;22.7;12.8;9.9
2011 06 26;21.7;27.4;16.5;10.9
2011 06 27;24.2;32;17.2;14.8
2011 06 28;26.9;36.4;19.7;16.7
2011 06 29;25.9;38.1;16.1;22
2011 06 30;23.6;34.2;14.3;19.9
2011 07 01;23.6;35.2;14.3;20.9
2011 07 02;26.4;40.4;16.7;23.7
2011 07 03;30.8;50.5;14.2;36.3
2011 07 04;33;44;20.6;23.4
2011 07 05;31.5;43.6;22.9;20.7
2011 07 06;31.5;43;24.7;18.3
2011 07 07;35.3;44;29.6;14.4
2011 07 08;34.1;42.4;27.7;14.7
2011 07 09;31.4;38.8;22.8;16
2011 07 10;30.4;36.5;23.8;12.7
2011 07 11;30.9;40.3;20.5;19.8
2011 07 12;33.6;59.5;18.8;40.7
2011 07 13;31.8;46.5;19.8;26.7
2011 07 14;27.9;40.9;17.8;23.1
2011 07 15;27.5;40.9;18.5;22.4
2011 07 16;26.5;39.3;16.6;22.7
2011 07 17;27;39.1;19.3;19.8
2011 07 18;30.3;43;21.6;21.4
2011 07 19;32;40.5;25.3;15.2
2011 07 20;25.5;34.1;18;16.1
2011 07 21;29;36.6;24.3;12.3
2011 07 22;30.1;42;21;21
2011 07 23;26;34.7;18.7;16
2011 07 24;26.6;32.9;16.7;16.2
2011 07 25;33.5;40.4;25.8;14.6
2011 07 26;38.6;48.7;30.7;18
2011 07 27;37.5;45.3;28.5;16.8
2011 07 28;32.2;41.4;22.6;18.8
2011 07 29;30.5;41.9;19.5;22.4
2011 07 30;32.5;45;23.6;21.4
2011 07 31;32.8;44.8;22.7;22.1
2011 08 01;32.6;47.2;22.8;24.4
2011 08 02;32.8;47.3;23.6;23.7
2011 08 03;31.1;41.2;21.1;20.1
2011 08 04;29.8;38.8;23.3;15.5
2011 08 05;30.8;39.3;22.8;16.5
2011 08 06;32.9;39.8;25.6;14.2
2011 08 07;32.3;38.2;23.8;14.4
2011 08 08;29.4;37.8;23.5;14.3
2011 08 09;21.7;30.2;13.5;16.7
2011 08 10;21.9;33.7;14.1;19.6
2011 08 11;26.7;36.7;19.1;17.6
